Star Rating,Review Text,Word Count
1,"После обмана продовца в пятерочке, отношение отрицательное",7
1,Беспредел !,2
1,Потрясающий непрофессионализм!,2
1,Несоответствие ценников и реальной цены,5
1,Отвратительно,1
1,Мошенничество с карточками магазина Пятёрочка,5
1,Неадекватный РГМ,2
1,Деградация полная,2
1,Одним словом - КЛОАКА! Ни ходите сюда.,7
1,"Неприятные впечатления - сотрудники с простудой, обсчитывание на кассе, тухлые товары",11
1,Ужас магазин,2
1,Очень плохо,2
1,Обнаружил обвес.,2
1,Не рекомендую.,2
1,Просто отвратительно!,2
1,Воровство,1
1,Сплошной обман и надувательство!,4
1,Отвратительно,1
1,Осознанно торгуют зараженной крупой!,4
1,Обман.,1
1,цены запредельные,2
1,Нечестная доставка товаров,3
1,персонал и руководство пятерочки в тамбове хамит и лжет!,9
1,Обманывают на деньги,3
1,Обман и непорядочность,3
1,Не начисляют 555 баллов после выполнения условий акции,8
1,Я зол,2
1,Осторожно машенники,2
1,Пропажа бонусов,2
1,Очень дорого,2
1,Отвратительное хранение выпечки,3
1,Сливают личные данные,3
1,Воровство баллов от Пятёрочки,4
1,Некомпетентность сотрудников,2
1,сплошной обман,2
1,очень плохое,2
1,Наглый обман с баллами,4
1,Отвратительный магазин,2
1,Им всё равно на своих клиентов,6
1,"Опять безобразное отношение к покупателям, хамство сотрудников, манипуляции с ценами",10
1,ужасное отношение к покупателям,4
1,Плохое впечатление,2
1,Опасно для жизни,3
1,Новых кассиров нужно правильно обучать,5
1,"Сотрудница хамка, недолюбливает молодых мамочек! Не любит пробивать скидку",9
1,Сеть магазинов стала ОТВРАТИТЕЛЬНА,4
1,Не образованный персонал!,3
1,Пробили дно,2
1,Жулики .Якобы начисляют баллы...,4
1,Магазин ну прям в прямом смысле эконом,7
1,Плохой магазин,2
1,Плохо,1
1,Плохое,1
1,Нет контроля качества продуктов,4
1,Отвратительно!,1
1,"не совпадают цены, подарки по акции отсутствуют",7
1,Ужасное,1
1,Свой рейтинг магазин теряет.,4
1,Днище,1
1,Негативное,1
1,Обман.,1
1,Обман,1
1,Только разочарование(украли баллы с Выручай карты),6
1,Магазин рядом с домом,4
1,Отвратительный магазин,2
1,Обман покупателей.,2
1,Начинает разочаровывать,2
